State,District,courtLink,courtID
Delhi,Delhi Mediation Centre,https://districts.ecourts.gov.in/delhimediation-centre,40
Delhi,Rouse Avenue Court Complex,https://districts.ecourts.gov.in/rouse-avenue-court-complex,41
Maharashtra,Akola,https://districts.ecourts.gov.in/akola,42
Maharashtra,Aurangabad Maharashtra,https://districts.ecourts.gov.in/aurangabad1,43
Maharashtra,Chandrapur,https://districts.ecourts.gov.in/chandrapur,44
Maharashtra,Jalgaon,https://districts.ecourts.gov.in/jalgaon,45
Maharashtra,Kolhapur,https://districts.ecourts.gov.in/kolhapur,46
Maharashtra,Nagpur,https://districts.ecourts.gov.in/nagpur,47
Maharashtra,Nanded,https://districts.ecourts.gov.in/nanded,48
Maharashtra,Nashik,https://districts.ecourts.gov.in/nashik,49
Maharashtra,Pune,https://districts.ecourts.gov.in/pune,50
Maharashtra,Solapur,https://districts.ecourts.gov.in/solapur,51
Maharashtra,Thane,https://districts.ecourts.gov.in/thane,52
Maharashtra,Ahmednagar,https://districts.ecourts.gov.in/ahmednagar,53
Maharashtra,Amravati,https://districts.ecourts.gov.in/amravati,54
Maharashtra,Beed,https://districts.ecourts.gov.in/beed,55
Maharashtra,Bhandara,https://districts.ecourts.gov.in/bhandara,56
Maharashtra,Buldhana,https://districts.ecourts.gov.in/buldhana,57
Maharashtra,Dhule,https://districts.ecourts.gov.in/dhule,58
Maharashtra,Gadchiroli,https://districts.ecourts.gov.in/gadchiroli,59
Maharashtra,Gondia,https://districts.ecourts.gov.in/gondia,60
Maharashtra,Jalna,https://districts.ecourts.gov.in/jalna,61
Maharashtra,Latur,https://districts.ecourts.gov.in/latur,62
Maharashtra,Nandurbar,https://districts.ecourts.gov.in/nandurbar,63
Maharashtra,Osmanabad,https://districts.ecourts.gov.in/osmanabad,64
Maharashtra,Parbhani,https://districts.ecourts.gov.in/parbhani,65
Maharashtra,Raigad,https://districts.ecourts.gov.in/raigad,66
Maharashtra,Ratnagiri,https://districts.ecourts.gov.in/ratnagiri,67
Maharashtra,Sangli,https://districts.ecourts.gov.in/sangli,68
Maharashtra,Satara,https://districts.ecourts.gov.in/satara,69
Maharashtra,Sindhudurg,https://districts.ecourts.gov.in/sindhudurg,70
Maharashtra,Wardha,https://districts.ecourts.gov.in/wardha,71
Maharashtra,Washim,https://districts.ecourts.gov.in/washim,72
Maharashtra,Yavatmal,https://districts.ecourts.gov.in/yavatmal,73
Maharashtra,Maharashtra CoOperative Courts,https://districts.ecourts.gov.in/maharashtra-cooperative-courts,74
Maharashtra,Mumbai CityCivil Court,https://districts.ecourts.gov.in/mumbai-citycivil-court,75
Maharashtra,Mumbai CMM Court,https://districts.ecourts.gov.in/mumbai-cmm-court,76
Maharashtra,Mumbai SmallCause Court,https://districts.ecourts.gov.in/mumbai-smallcause-court,77
Maharashtra,Maharashtra IndustrialLabour Courts,https://districts.ecourts.gov.in/maharashtra-industriallabour-courts,78
